Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Malcolm Brogdon (11703330),Malcolm Brogdon,11703330,PG/SG/G/UTIL,5300,MIL@CHA 11/26/2018 07:00PM ET,MIL,26.04
SG/SF,Evan Fournier (11703334),Evan Fournier,11703334,SG/SF/F/G/UTIL,5300,ORL@GS 11/26/2018 10:30PM ET,ORL,28.18
C,Wendell Carter Jr. (11703344),Wendell Carter Jr.,11703344,C/UTIL,5200,SA@CHI 11/26/2018 08:00PM ET,CHI,27.69
SF/PF,Marcus Morris (11703366),Marcus Morris,11703366,SF/PF/F/UTIL,5200,BOS@NO 11/26/2018 08:00PM ET,BOS,25.32
PF,Lauri Markkanen (11703357),Lauri Markkanen,11703357,PF/F/UTIL,5100,SA@CHI 11/26/2018 08:00PM ET,CHI,0
PG,Quinn Cook (11703354),Quinn Cook,11703354,PG/G/UTIL,5100,ORL@GS 11/26/2018 10:30PM ET,GS,18.79
SG/SF,Tyreke Evans (11703346),Tyreke Evans,11703346,SG/SF/F/G/UTIL,5100,IND@UTA 11/26/2018 09:00PM ET,IND,21.06
C,Myles Turner (11703364),Myles Turner,11703364,C/UTIL,5100,IND@UTA 11/26/2018 09:00PM ET,IND,25.26
SF,Cedi Osman (11703351),Cedi Osman,11703351,SF/F/UTIL,5000,MIN@CLE 11/26/2018 07:00PM ET,CLE,23.66
PF/C,Larry Nance Jr. (11703360),Larry Nance Jr.,11703360,PF/C/F/UTIL,5000,MIN@CLE 11/26/2018 07:00PM ET,CLE,22.62
PF/C,Bobby Portis (11703370),Bobby Portis,11703370,PF/C/F/UTIL,4900,SA@CHI 11/26/2018 08:00PM ET,CHI,29.12
PF,Dario Saric (11703374),Dario Saric,11703374,PF/F/UTIL,4900,MIN@CLE 11/26/2018 07:00PM ET,MIN,23.24
